Date,Close
2020-01-01,100.00
2020-01-02,101.50
2020-01-03,99.80
2020-01-04,102.30
2020-01-05,98.90
2020-01-06,105.20
2020-01-07,107.10
2020-01-08,106.80
2020-01-09,108.30
2020-01-10,110.50
2020-01-11,109.20
2020-01-12,112.80
2020-01-13,111.90
2020-01-14,115.60
2020-01-15,114.30
2020-01-16,118.90
2020-01-17,117.20
2020-01-18,120.80
2020-01-19,119.50
2020-01-20,123.70
2020-01-21,122.40
2020-01-22,125.90
2020-01-23,124.60
2020-01-24,128.30
2020-01-25,127.10
2020-01-26,130.80
2020-01-27,129.50
2020-01-28,133.20
2020-01-29,131.90
2020-01-30,135.60
2020-01-31,134.30
2020-02-01,138.10
2020-02-02,136.80
2020-02-03,140.50
2020-02-04,139.20
2020-02-05,142.90
2020-02-06,141.60
2020-02-07,145.30
2020-02-08,144.00
2020-02-09,147.70
2020-02-10,146.40
2020-02-11,150.10
2020-02-12,148.80
2020-02-13,152.50
2020-02-14,151.20
2020-02-15,154.90
2020-02-16,153.60
2020-02-17,157.30
2020-02-18,156.00
2020-02-19,159.70
2020-02-20,158.40
2020-02-21,162.10
2020-02-22,160.80
2020-02-23,164.50
2020-02-24,163.20
2020-02-25,166.90
2020-02-26,165.60
2020-02-27,169.30
2020-02-28,168.00
2020-02-29,171.70
2020-03-01,170.40
2020-03-02,174.10
2020-03-03,172.80
2020-03-04,176.50
2020-03-05,175.20
2020-03-06,178.90
2020-03-07,177.60
2020-03-08,181.30
2020-03-09,180.00
2020-03-10,183.70
2020-03-11,182.40
2020-03-12,186.10
2020-03-13,184.80
2020-03-14,188.50
2020-03-15,187.20
2020-03-16,190.90
2020-03-17,189.60
2020-03-18,193.30
2020-03-19,192.00
2020-03-20,195.70
2020-03-21,194.40
2020-03-22,198.10
2020-03-23,196.80
2020-03-24,200.50
2020-03-25,199.20
2020-03-26,202.90
2020-03-27,201.60
2020-03-28,205.30
2020-03-29,204.00
2020-03-30,207.70
2020-03-31,206.40
2020-04-01,210.10
2020-04-02,208.80
2020-04-03,212.50
2020-04-04,211.20
2020-04-05,214.90
2020-04-06,213.60
2020-04-07,217.30
2020-04-08,216.00
2020-04-09,219.70
2020-04-10,218.40
2020-04-11,222.10
2020-04-12,220.80
2020-04-13,224.50
2020-04-14,223.20
2020-04-15,226.90
2020-04-16,225.60
2020-04-17,229.30
2020-04-18,228.00
2020-04-19,231.70
2020-04-20,230.40
2020-04-21,234.10
2020-04-22,232.80
2020-04-23,236.50
2020-04-24,235.20
2020-04-25,238.90
2020-04-26,237.60
2020-04-27,241.30
2020-04-28,240.00
2020-04-29,243.70
2020-04-30,242.40
